URL,Status Code,Speed (ms),Page Title,Meta Description,H1 Present,Tracking Pixels,Readiness,Issues to Fix
https://www.python.org,200,1502,Welcome to Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/success-stories/category/engineering/,200,484,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/about/help/,200,481,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/success-stories/category/arts/,200,578,Arts | Our Success Stories | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/psf-landing/,200,177,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/dev/,200,320,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/community/sigs/,200,353,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/events/python-events/2137/,200,428,PyOhio 2026 | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/events/python-events/2197/,200,106,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/events/calendars/,200,436,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/doc/essays/,200,468,Python Documentation Index | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/downloads/source/,200,644,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/downloads/ios/,200,133,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/dev/core-mentorship/,200,389,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/success-stories/category/government/,200,370,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/success-stories/,200,362,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/about/quotes/,200,398,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/psf/community-stories/,200,386,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/events/python-events/2176/,200,415,PyCon Korea 2026 | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/community/forums/,200,336,Unknown,Missing,0,0,Needs Attention,Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://www.python.org/jobs/,200,430,Python Job Board | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/psf/,200,756,Python Software Foundation,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/community/lists/,200,459,Mailing lists | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/events/python-events/2192/,200,479,PyCon Indonesia 2026 | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/dev/security/,200,463,Python Security | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/psf/conduct/,200,1602,Python Software Foundation Code of Conduct - Python Software Foundation Policies,Missing,1,0,Needs Attention,Missing <meta> description | Missing Tracking Pixels
https://www.python.org#top,200,176,Welcome to Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/events/python-user-group/past/,200,429,Our Events | Python.org,The official home of the Python Programming Language,0,0,Needs Attention,Missing <h1> | Missing Tracking Pixels
https://www.python.org/success-stories/category/software-development/,200,482,Software Development | Our Success Stories | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/blogs/,200,475,Our Blogs | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/psf/get-involved/,200,474,👋 Hey Community Members! | Python Software Foundation,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/downloads/macos/,200,113,Python Releases for macOS | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/events/python-events/,200,423,Our Events | Python.org,The official home of the Python Programming Language,0,0,Needs Attention,Missing <h1> | Missing Tracking Pixels
https://www.python.org/download/other/,200,464,Download Python for other platforms | Python.org,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://www.python.org/community/awards,200,886,Python Community Awards | Python Software Foundation,The official home of the Python Programming Language,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/,200,1033,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/#cap-link,200,416,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/cdn-cgi/l/email-protection#89faffc9e3e8fbebfceea7eae6e4,404,127,Missing Title,Missing,0,0,Needs Attention,Bad Status: 404 | Missing <title> | Missing <h1> | Missing <meta> description | Missing Tracking Pixels
https://jarbug.com/#results,200,684,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/#cap-discover,200,200,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/#catalog-reframe,200,246,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/blog,200,555,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure that captures the 70% of search demand your D2C brand is missing - without developers. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/privacy#cookies,200,434,Privacy Policy - Jarbug,"How Jarbug collects, uses, shares, and protects your personal information, and the choices and rights available to you.",1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/reports,200,541,Revenue Assessment Reports | Jarbug,"Browse Jarbug SEO revenue assessment reports with keyword gaps, search demand estimates, and projected organic revenue uplift for D2C brands.",1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/terms,200,578,Terms and Conditions - Jarbug,"The terms that govern your access to and use of Jarbug's website, web application, and related services.",1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/case-studies,200,588,Case Studies | Jarbug,"See how D2C brands use Jarbug to capture missed organic demand, scale SmartPages, and grow revenue.",1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/#comp,200,256,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/contact,200,1218,Book a Demo - Jarbug,Get your free revenue assessment in under 2 minutes. Share your store URL and we'll call with your keyword gap and revenue opportunity.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/privacy,200,163,Privacy Policy - Jarbug,"How Jarbug collects, uses, shares, and protects your personal information, and the choices and rights available to you.",1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/#what-changes,200,298,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
https://jarbug.com/#problem,200,180,Jarbug - The Growth Engine for Ecommerce,AI-powered SEO infrastructure capturing the 70% of search demand your D2C brand is missing. Live in under 10 hours.,1,0,Needs Attention,Missing Tracking Pixels
